!ENTRY_AC	AC
IPR003353	00053+2.7.1.69
IPR003352	00053+2.7.1.69
IPR023942	00053+4.1.1.85
IPR023499	00053+5.1.3.4
IPR014358	00061+1.3.1.9
IPR011763	00061+6.4.1.2
IPR007482	00062+4.2.1.134
IPR028635	00071+1.1.1.1
IPR012803	00071+4.2.1.17+1.1.1.211
IPR008069	00071+1.14.14.1
IPR029320	00071+1.3.3.6
IPR030305	00071+6.2.1.3
IPR011554	00072+2.3.3.10
IPR023375	00072+4.1.1.4
IPR000138	00072+4.1.3.4
IPR009721	00073+2.3.1.20
IPR027251	00073+2.3.1.20
IPR014122	00130+2.1.1.163
IPR022432	00130+2.5.1.120
IPR011715	00130+2.6.1.5
IPR019963	00130+3.2.2.26
IPR008066	00140+1.14.14.1
IPR017128	00140+2.1.1.6
IPR001211	00590+3.1.1.4
IPR003187	00590+3.1.1.4
IPR027286	00590+5.3.99.4
IPR008071	00591+1.14.14.1
IPR029320	00592+1.3.3.6
IPR012806	00592+2.3.1.16
IPR002334	00592+3.1.1.32
IPR006108	00592+4.2.1.17
IPR025993	00600+2.4.1.80
IPR028668	00600+3.1.3.4
IPR012083	00600+3.1.6.1
IPR026946	00600+3.2.1.18
IPR016285	00600+3.2.1.18
IPR006215	00600+3.2.1.22
IPR002241	00600+3.2.1.22
IPR025972	00600+3.2.1.23
IPR006103	00600+3.2.1.23
IPR001286	00600+3.2.1.46
IPR006215	00603+3.2.1.22
IPR000111	00603+3.2.1.22
IPR025972	00604+3.2.1.23
IPR003476	00604+3.2.1.23
IPR006101	00604+3.2.1.23
IPR029019	00604+3.2.1.52
IPR018177	00620+1.1.1.27
IPR006231	00620+1.1.5.4
IPR014080	00620+1.13.12.4
IPR017596	00620+1.2.4.1
IPR004660	00620+1.2.4.1
IPR010766	00620+2.3.1.8
IPR006253	00620+2.3.3.9
IPR001465	00620+2.3.3.9
IPR023424	00620+4.1.1.3
IPR022805	00620+4.1.1.31
IPR008209	00620+4.1.1.32
IPR001272	00620+4.1.1.49
IPR005677	00620+4.2.1.2
IPR011763	00620+6.4.1.2
IPR013537	00620+6.4.1.2
IPR021028	00621+1.14.12.22
IPR017727	00621+3.7.1.8
IPR006180	00623+1.1.1.35
IPR024756	00624+1.13.11.3
IPR012785	00624+1.13.11.3
IPR000438	00640+6.4.1.2
IPR023719	00643+3.5.1.4
IPR018141	00643+4.2.1.84
IPR010142	00625+1.18.6.1
IPR014278	00625+1.18.6.1
IPR011290	00625+1.18.6.1
IPR010353	00627+1.14.13.7
IPR023206	00627+1.14.14.1
IPR001011	00627+3.1.3.2
